,id,name,beginYear,endYear,description,countries
124,09f832e3-6244-478d-aa5c-d7afee8f99ed,1500 Event 1,1500,1500,"1500: Charles of Ghent (future Lord of the Netherlands, King of Spain, Archduke of Austria, and Holy Roman Emperor) was born.",[]
125,0a05a092-9b27-4729-8791-33d8e308198a,1993 Event 5,1993,1993,February 26: 1993 World Trade Center bombing.,[]
126,0a324fcd-4c3c-46ac-ac15-ac7c56b9330d,2002 Event 13,2002,2002,October 2 – 23: Beltway sniper attacks.,[]
127,0a61d09b-f934-4af7-8716-38e75f07794b,1987 Event 11,1987,1987,November 18: The King's Cross fire on the London Underground kills 31 people and injures a further 100.,[]
128,0a709861-8123-4ff9-9bb2-a2680d8917c7,2021 Event 67,2021,2021,November 30: Barbados becomes a republic on its 55th anniversary of independence while remaining a member of the Commonwealth of Nations.,[]
129,0a7350c8-26e8-4194-a118-388c96736835,1902 Event 2,1902,1902,May 20: Cuba given independence by the United States.,[]
130,0a7f990d-8c71-4e1d-ba94-29255cf635e4,1721 Event 1,1721,1721,1721: Peter I reforms the Russian Orthodox Church.,[]
131,0a9a1b77-6131-4157-9fd2-db217c139bab,2003 Event 11,2003,2003,The Second Congo War ends with more than 5 million dead.,[]
132,0aa70f0e-6210-4f46-9f38-fd774faad436,2013 Event 26,2013,2013,Death and funeral of Margaret Thatcher.,[]
133,0ad051d3-b9d4-4d39-8541-da7ee7f39ac8,1953 Event 8,1953,1953,May 29: First ascent of Mount Everest.,[]
134,0ae170d5-124f-4ab7-8842-ee4c2713dbe9,1995 Event 3,1995,1995,"Austria, Finland and Sweden join the European Union.","[{'id': 'cb7514ec-cad1-48dc-bf5c-7a87bed9ef1e', 'name': 'Austria'}]"
135,0afd60ea-eea2-46f8-8626-6458c753bad1,2020 Event 54,2020,2020,"November 10: Apple releases the first Mac computers (a new MacBook Air, Mac mini and MacBook Pro) powered by Apple silicon chips.",[]
136,0b04bad1-f017-4ac9-98b1-81e1ec84928d,2002 Event 5,2002,2002,"February 27 – March 1: Riots and mass killings in the Indian state of Gujarat leave 1,044 dead.",[]
137,0b15fc1c-2f03-441e-aa97-05914b12cdca,2007 Event 13,2007,2007,Spike in food prices and subprime crisis help trigger global recession.,[]
138,0b6ccc39-b019-4596-8556-f19562372d92,2010 Event 14,2010,2010,The threat of Greece defaulting on its debts triggers the European sovereign debt crisis and Republic of Ireland's financial crisis.,"[{'id': '9cc43718-ff2d-4796-8eeb-078b1c2353c5', 'name': 'Ireland'}]"
139,0b79e9a1-66de-4c62-a079-03810e6050a3,1985 Event 13,1985,1985,"November 20: Windows 1.0, the first Microsoft Windows operating system, released.",[]
140,0b9508c0-6533-46c8-841f-236d2fdfb79a,1960 Event 1,1960,1960,"January 22: First crewed descent to the deepest point on Earth, the Mariana Trench.",[]
141,0bb1a3e6-9f7c-486f-a108-b1cdb97f57cd,1958 Event 6,1958,1958,August – September: Second Taiwan Strait Crisis.,[]
142,0bb43ebd-3cf0-4dce-8e50-f75accd261a8,1641 Event 1,1641,1641,1641: René Descartes publishes Meditationes de prima philosophia Meditations on First Philosophy.,[]
143,0bbd89a3-bb6b-4e95-904f-2da3575ffdc1,1998 Event 15,1998,1998,July 24,[]
144,0bf8017c-3507-4c46-9542-9ff722915fe5,1990 Event 19,1990,1990,November 28: John Major becomes Prime Minister of the United Kingdom.,[]
145,0c028b83-6a41-4681-9d88-b2a07b424349,2020 Event 68,2020,2020,"December 8: Nepal and China officially agree on Mount Everest's actual height, which is 8,848.86m.","[{'id': '47327a7e-4f5c-4ca5-b531-e361da57db58', 'name': 'Nepal'}]"
146,0c18b5e7-03ee-469c-bfbb-81f718436157,2021 Event 37,2021,2021,"June 7: The Juno spacecraft performs its only flyby of Jupiter's moon Ganymede, the first flyby of the moon by any spacecraft in over 20 years.",[]
147,0c1f531d-e9f3-4320-b1e2-36b27b90d277,2019 Event 53,2019,2019,"Israeli Prime Minister Benjamin Netanyahu is indicted on charges of bribery, fraud and breach of trust.",[]
148,0c276182-461e-4024-bbb2-1b2c1cff55ed,1513 Event 1,1513,1513,"1513: The Portuguese mariner Jorge Álvares lands at Macau, China, during the Ming Dynasty.",[]
149,0c2fab1c-2761-44a2-8ddf-856bc1f6cb0d,1625 Event 1,1625,1625,1625: New Amsterdam founded by the Dutch West India Company in North America.,[]
150,0c464498-0dfd-4982-885d-b8edaa8c4464,1499 Event 1,1499,1499,1499: Michelangelo's Pietà in St. Peter's Basilica is made in Rome,[]
151,0c4c4c86-c695-4e90-939c-1f949955a80c,1995 Event 23,1995,1995,September 19: The Washington Post and The New York Times publish the Unabomber manifesto.,[]
152,0c64d72f-93e0-49c9-83e4-9e0bc5cbd931,1770 Event 1,1770,1770,1770: James Cook stops at Onrust Island in the Bay of Batavia for repairs to his ship Endeavour on his voyage around the world.&#91;18&#93;,[]
153,0cabc4ce-fca1-4231-bd9a-7044e80f8537,2021 Event 64,2021,2021,"October 23: Colombia's most wanted drug lord, Dario Antonio Úsuga, whose Gulf Clan controls many smuggling routes into the US and other countries, is captured by Colombia's armed forces.","[{'id': '151040c0-5e31-4b38-a4be-3ab82571ad39', 'name': 'Colombia'}]"
154,0cb9d3d8-0212-42ee-bffa-87231b5abce6,1991 Event 29,1991,1991,October 30 – November 1: Madrid Conference of 1991.,[]
155,0cea70ab-a7f6-425c-afd9-1de5a349897a,2004 Event 16,2004,2004,Death and state funeral of Ronald Reagan.,[]
156,0cf33a22-26f3-4541-986a-eb9ebfad48c8,2019 Event 34,2019,2019,The EU Directive on Copyright in the Digital Single Market is passed over intense opposition.,[]
157,0cf3432d-7a58-46bd-8baf-aea50c9e9bfe,1616 Event 1,1616,1616,1616: The last remaining Moriscos (Moors who had nominally converted to Christianity) in Spain are expelled.,[]
158,0cfe940d-be04-4905-b36d-1fecd69d94bd,2018 Event 10,2018,2018,December 11: Return of the Balangiga bells in the Philippines after 117 years.,[]
159,0d00c81d-f20f-4529-889e-ea83d2fac181,2022 Event 15,2022,2022,April: Elon Musk purchases Twitter,[]
160,0d0d4412-14ed-47f1-ab5b-26c408832a78,1964 Event 9,1964,1964,August 29: Release date of Disney's Mary Poppins.,[]
161,0d566ca0-1a01-4222-b2cb-a2731458d339,1674 Event 1,1674,1674,1644–1674: The Mauritanian Thirty-Year War.,"[{'id': 'f55cd95e-5c82-49d6-b541-13918e912dd1', 'name': 'Mauritania'}]"
162,0d7b3a3b-c831-4cef-b2ad-4d2b22bddab6,2022 Event 20,2022,2022,June – August: Heat waves in Europe kill tens of thousands.,[]
163,0d9042eb-a9a4-4f51-94e6-bb03ce0c4209,1941 Event 7,1941,1941,October 23: Release date of Disney's Dumbo.,[]
164,0dcd03dc-58c5-45d1-9cf1-cbabed50bda5,1582 Event 1,1582,1582,1582: Yermak Timofeyevich conquers the Siberia Khanate on behalf of the Stroganovs.,[]
165,0dd0fca4-52f8-456f-b39e-7b3496104dd5,1950 Event 4,1950,1950,June – September: The Bodo League Massacre of prisoners during the Korean War.,[]
